player_1,player_2,Winner,Location,Tournament,Date,Series,Court,Best of,Surface,Round,elo_player_1,elo_player_2,surface_elo_player_1,surface_elo_player_2,days_since_1,days_since_2,form5_1,form5_2,form10_1,form10_2,avg_opp5_1,avg_opp5_2,avg_opp10_1,avg_opp10_2
Popyrin A.,Martinez P.,player_2,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,5.0,,0.3333333333333333,1.0,0.3333333333333333,1.0,1505.3333333333333,1500.0,1505.3333333333333,1500.0
Kecmanovic M.,Travaglia S.,player_1,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1484.0,1500.0,1484.0,,6.0,1.0,0.0,1.0,0.0,1484.0,1500.0,1484.0,1500.0
Kudla D.,Delbonis F.,player_1,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,,,1.0,0.0,1.0,0.0,1500.0,1500.0,1500.0,1500.0
Vesely J.,Nakashima B.,player_2,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1500.0,1484.0,1500.0,7.0,,0.0,1.0,0.0,1.0,1500.0,1484.0,1500.0,1484.0
O Connell C.,Baez S.,player_2,Sydney,Sydney Tennis Classic,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1484.0,1484.0,1484.0,6.0,6.0,0.0,0.5,0.0,0.5,1492.0,1492.0,1492.0,1492.0
Kwon S.W.,Harris L.,player_1,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1500.0,1500.0,1500.0,6.0,,0.6666666666666666,0.0,0.6666666666666666,0.0,1505.3333333333333,1500.0,1505.3333333333333,1500.0
Struff J.L.,Moutet C.,player_2,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1516.0,1500.0,1516.0,,7.0,0.0,1.0,0.0,1.0,1516.0,1500.0,1516.0,1500.0
Johnson S.,Bolt A.,player_1,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1499.263693206478,1484.0,1499.263693206478,1484.0,5.0,7.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1494.6666666666667,1499.631846603239,1494.6666666666667,1499.631846603239
Paire B.,Kokkinakis T.,player_2,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1530.6597170325126,1500.0,1530.6597170325126,,3.0,0.0,0.8,0.0,0.8,1530.6597170325126,1513.0877547932093,1530.6597170325126,1513.0877547932093
Carballes Baena R.,Bonzi B.,player_2,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1484.0,1484.0,1484.0,8.0,7.0,0.0,0.5,0.0,0.5,1492.0,1492.0,1492.0,1492.0
Fucsovics M.,Van De Zandschulp B.,player_1,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1484.0,1515.2975328274754,1484.0,1515.2975328274754,7.0,4.0,0.5,0.5,0.5,0.5,1507.6487664137376,1504.1840766983805,1507.6487664137376,1504.1840766983805
Mager G.,Gerasimov E.,player_1,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1500.0,1515.2975328274754,1500.0,1515.2975328274754,5.0,4.0,0.6666666666666666,0.5,0.6666666666666666,0.5,1510.4325109424917,1508.1840766983805,1510.4325109424917,1508.1840766983805
Monteiro T.,Nishioka Y.,player_1,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,1st Round,1499.263693206478,1484.0,1499.263693206478,1484.0,6.0,8.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1494.6666666666667,1499.631846603239,1494.6666666666667,1499.631846603239
Rinderknech A.,Kwon S.W.,player_1,Adelaide,Adelaide International 2,2022-01-11,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1516.0,1516.0,1516.0,1.0,0.0,1.0,0.5,1.0,0.5,1508.0,1508.0,1508.0,1508.0
Fognini F.,Nakashima B.,player_2,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1515.263693206478,1515.263693206478,1515.263693206478,1515.263693206478,2.0,1.0,0.5,1.0,0.5,1.0,1499.631846603239,1499.631846603239,1499.631846603239,1499.631846603239
Sonego L.,Baez S.,player_1,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1516.0,1500.0,1516.0,1500.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1500.0,1500.0,1500.0,1500.0
Moutet C.,Fucsovics M.,player_1,Adelaide,Adelaide International 2,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1531.263693206478,1501.4374186863345,1531.263693206478,1501.4374186863345,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1500.4791395621114,1515.5204086779843,1500.4791395621114,1515.5204086779843
Munar J.,Cilic M.,player_2,Adelaide,Adelaide International 2,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1529.8278203282016,1516.736309948472,1529.8278203282016,1516.736309948472,2.0,4.0,0.6,0.75,0.6,0.75,1506.40000063099,1523.8166485735621,1506.40000063099,1523.8166485735621
Evans D.,Martinez P.,player_1,Sydney,Sydney Tennis Classic,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1500.0,1516.0,1500.0,1516.0,,1.0,1.0,0.5,1.0,0.5,1516.0,1500.0,1516.0,1500.0
Bonzi B.,Paul T.,player_2,Adelaide,Adelaide International 2,2022-01-12,ATP250,Outdoor,3.0,Hard,2nd Round,1500.0,1529.8937550041862,1500.0,1529.8937550041862,1.0,2.0,0.3333333333333333,0.8,0.3333333333333333,0.8,1504.631251668062,1503.494522717409,1504.631251668062,1503.494522717409
